Country,Region,Year,Overall_Score,Property_Rights,Government_Integrity,Judicial_Effectiveness,Tax_Burden,Government_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom
Jamaica,Americas,2024,68.1,66.1,48.4,69.7,77,71.5,87.5,69.9,64.9,71.2,71.6,70,50
Japan,Asia-Pacific,2024,67.5,94.6,82.6,93.6,63.3,42.5,0,77.5,68.6,81.7,75.8,70,60
Jordan,Middle East/North Africa,2024,58.3,54,48.4,43.4,84.4,67.8,2.3,62.8,56.5,78.7,71.4,70,60
Kazakhstan,Asia-Pacific,2024,62,54.1,36.5,33.8,92.6,84.4,73.7,69.7,62.6,62.6,74.6,50,50
Kenya,Sub-Saharan Africa,2024,53.6,40.8,31,47.7,79.7,82.8,11.1,57.7,57.3,73.2,57.2,55,50
Kiribati,Asia-Pacific,2024,51.3,73.2,49,66.7,70.7,0,19.5,60.9,58.4,76.9,80,30,30
North Korea,Asia-Pacific,2024,2.9,16,3.6,5.4,0,0,0,5,5,0,0,0,0
South Korea,Asia-Pacific,2024,73.1,88.3,69.2,76.9,59,78.9,91.6,85,57.2,77.3,73.4,60,60
Kosovo,Europe,2024,60.6,48.2,41,31.8,90.7,72.3,82.3,68,47.5,66.4,84.2,65,30
Kuwait,Middle East/North Africa,2024,58.5,42.1,41.9,41.4,97.7,11.3,100,56.2,53,67.9,75.6,55,60
Kyrgyz Republic,Asia-Pacific,2024,55.2,22.4,24.8,11.4,94,66,92.2,55,52.3,62.4,71.8,60,50
Laos,Asia-Pacific,2024,50.6,44,23.4,12.2,88.8,91.2,67.1,56.2,42.9,59.1,67.6,35,20
Latvia,Europe,2024,71.5,87.6,64.8,73,76.6,48.5,67.3,82,66.3,67.8,79.2,85,60
Lebanon,Middle East/North Africa,2024,48.3,30.7,22.7,24,90.5,94.7,69.2,48.9,57.6,10.1,71.4,30,30
Lesotho,Sub-Saharan Africa,2024,51.9,43.3,41.6,43.4,77.2,22.4,63.7,44.4,57.9,72.8,61.2,55,40
Liberia,Sub-Saharan Africa,2024,49.9,32.4,24.9,23.4,86.1,71.8,69.2,34.6,43.6,71.6,66.8,55,20
Libya,Middle East/North Africa,2024,,5.9,10.2,4.2,93.2,,,,,,,,
Liechtenstein,Europe,2024,,92.8,82.4,86,,,,88.2,,,86.4,80,80
Lithuania,Europe,2024,72.9,89.1,68,74.4,76.8,55.5,83.2,80.7,61.8,66.5,79.2,70,70
Luxembourg,Europe,2024,79.2,96.9,84.9,95.8,64.6,40.6,97.6,89.5,57.7,69.1,79.2,95,80
Madagascar,Sub-Saharan Africa,2024,57.3,41.4,24.8,34.5,90.9,92.5,64,37.5,56.3,73,68.4,55,50
Malawi,Sub-Saharan Africa,2024,52.1,48.6,36.3,52.8,77.6,82.2,8.7,30.8,55.9,64,68.4,50,50
Malaysia,Asia-Pacific,2024,65.7,65.7,48.2,65.6,83.9,81.4,42.8,70.5,58.2,79.1,83,60,50
Maldives,Asia-Pacific,2024,47.8,49.4,39,44.5,92.4,42.9,0,49.4,51.8,76.2,62.6,35,30
Mali,Sub-Saharan Africa,2024,52.5,32.7,22.4,32.8,68,80.4,54.9,42.3,54.1,72.7,64,65,40
Malta,Europe,2024,64.5,86.3,55.3,89.9,69.6,45,14.5,77.5,64.4,71.8,79.2,70,50
Mauritania,Sub-Saharan Africa,2024,55.3,35.3,22.9,28.1,76,85.9,94.8,34.4,60.3,72.7,63,50,40
Mauritius,Sub-Saharan Africa,2024,71.5,86.4,52.3,81.2,91.5,74.7,30.4,78.9,69.1,66.7,87.4,70,70
Mexico,Americas,2024,62,46.5,29,39.4,76,77,66.9,71.2,58,68.3,76.8,75,60
Micronesia,Asia-Pacific,2024,61,64.7,56.9,84.3,84.2,0,99.6,53,72.5,77.6,74.8,35,30
Moldova,Europe,2024,57.1,39.2,39.1,30.4,93,61.3,75.7,61,47.7,56.3,76,55,50
Mongolia,Asia-Pacific,2024,60.6,48.8,34.8,55,84,62,64.3,68,67.5,67.9,74.4,50,50
Montenegro,Europe,2024,59.7,59,48.9,41.8,88.3,32.4,39.3,70.1,62.6,70.7,78.8,75,50
Morocco,Middle East/North Africa,2024,56.8,57.6,33.9,32.9,68,68.2,29.9,68.5,48.6,71.1,67.4,65,70
Mozambique,Sub-Saharan Africa,2024,50.7,31.1,25.4,44.5,74.1,69.2,47,36.3,47.7,71.9,70.6,40,50
Namibia,Sub-Saharan Africa,2024,57.5,63.9,50.6,67.1,72.2,54.2,10.2,55.6,63.3,75.7,72,65,40
Nepal,Asia-Pacific,2024,52.1,37.7,35.6,43.7,84.3,78.1,68.5,60.5,48.2,70,58.2,10,30
Netherlands,Europe,2024,77.3,95.6,87.8,96.2,53.1,37.1,88.1,88.6,60.5,71.5,79.2,90,80
New Zealand,Asia-Pacific,2024,77.8,87.4,95.9,93.2,65.5,46.3,72.4,88.3,70.3,74.6,89.8,70,80
Nicaragua,Americas,2024,53.4,27.5,15.6,10.5,74.6,74.3,94.9,52.2,47.3,66.5,67.4,60,50
Niger,Sub-Saharan Africa,2024,52.3,38.4,31.6,37.3,77.6,84.5,40.5,34,54,72.3,63,55,40
Nigeria,Sub-Saharan Africa,2024,53.1,24.5,21.7,34.5,84.8,94.7,44.2,42.9,73.7,63.2,67.6,45,40
North Macedonia,Europe,2024,61.4,58.8,41.4,49.4,94.4,61.7,37.7,70,56.1,64.6,77.8,65,60
Norway,Europe,2024,77.5,98.8,95.6,96.7,61.7,32.1,97.2,87.2,69.4,71.1,84.8,75,60
Oman,Middle East/North Africa,2024,62.9,72.7,42.2,24.2,97.6,59.4,73.8,65.5,53.3,80.3,76.2,60,50
Pakistan,Asia-Pacific,2024,49.5,29.3,24.9,30.5,78.3,88.5,10.7,48.3,52.2,63.8,67.6,60,40
Panama,Americas,2024,64.1,56.9,37.2,51.2,85.9,82.6,21.1,73.6,61.6,75.1,78.4,75,70
Papua New Guinea,Asia-Pacific,2024,49.4,42.9,28.7,43.6,71.9,84.8,17.2,34.9,64.9,70.8,77.8,25,30
Paraguay,Americas,2024,60.1,45,27.3,37.2,96,81.6,46.4,69,39.8,67.3,77.2,75,60
Peru,Americas,2024,64.8,44.9,36.3,48.2,79.1,81.8,67.8,69.5,59.3,74,81.4,75,60
The Philippines,Asia-Pacific,2024,59,46.1,33.8,42.2,78.2,79.2,40.5,69.7,57.8,65.8,74.4,60,60
Poland,Europe,2024,66,72,58.3,52.2,72.6,38.5,67.4,74.6,58,68.9,79.2,80,70
Portugal,Europe,2024,68.7,89.4,65.5,90.6,59.8,33,65.2,79.3,57.6,75,79.2,70,60
Qatar,Middle East/North Africa,2024,68.8,70.4,51.7,41.5,99.7,74,96.4,66.1,52.5,72.2,81.6,60,60
Romania,Europe,2024,64.4,81,47.6,65.8,93.9,58,14.9,74.6,68.2,69.3,79.2,70,50
Russia,Europe,2024,52,20.9,25.9,32.1,89.8,59.7,95.6,54.4,57.4,58.9,69.4,30,30
